Date, Close/Last, Volume, Open, High, Low
2020-12-18,1888.9,149960,1891.3,1895.7,1881.9
2020-12-17,1890.4,213170,1868.4,1902.0,1865.9
2020-12-16,1859.1,196702,1857.7,1870.0,1848.2
2020-12-15,1855.3,169218,1830.5,1859.3,1828.5
2020-12-14,1832.1,166785,1845.0,1832.7,1828.1
2020-12-11,1843.6,150634,1840.0,1851.8,1826.8
2020-12-10,1837.4,162513,1843.0,1854.2,1831.5
2020-12-09,1838.5,216843,1875.4,1875.9,1828.2
2020-12-08,1874.9,147902,1866.1,1879.8,1863.9
2020-12-07,1866.0,204259,1841.1,1870.8,1862.1
2020-12-04,1840.0,167301,1844.7,1852.7,1832.0
2020-12-03,1841.1,177988,1833.9,1847.4,1826.7
2020-12-02,1830.2,182809,1819.1,1835.7,1828.2
2020-12-01,1818.9,197184,1780.3,1821.1,1778.4
2020-11-30,1780.9,235285,1790.8,1793.3,1767.2
2020-11-27,1788.1,277091,1812.1,1822.6,1776.5
2020-11-25,1811.2,121112,1812.0,1821.7,1804.7
2020-11-24,1810.9,125089,1842.6,1813.1,1807.4
2020-11-23,1844.1,106315,1875.9,1844.5,1839.6
2020-11-20,1872.4,180515,1864.8,1873.9,1868.7
2020-11-19,1861.5,217146,1872.0,1866.7,1862.0
2020-11-18,1873.9,203979,1879.5,1871.5,1868.2
2020-11-17,1885.1,155099,1888.2,1892.7,1876.3
2020-11-16,1887.8,217991,1886.6,1898.0,1861.5
2020-11-13,1886.2,158776,1875.6,1888.9,1885.3
2020-11-12,1873.3,199543,1863.9,1883.0,1860.7
2020-11-11,1861.6,201067,1876.1,1882.5,1853.9
2020-11-10,1876.4,243090,1864.1,1877.1,1870.9
2020-11-09,1854.4,475721,1956.0,1869.3,1861.2
2020-11-06,1951.7,233903,1950.0,1961.8,1937.2
2020-11-05,1946.8,288663,1903.4,1952.6,1948.0
2020-11-04,1896.2,284598,1910.3,1905.8,1897.8
2020-11-03,1910.4,166642,1896.4,1911.8,1906.9
2020-11-02,1892.5,161958,1877.0,1897.1,1873.3
2020-10-30,1879.9,207865,1867.9,1885.9,1875.0
2020-10-29,1868.0,219592,1877.5,1885.1,1859.2
2020-10-28,1879.2,289026,1909.8,1882.1,1875.7
2020-10-27,1911.9,149056,1904.4,1913.8,1898.7
2020-10-26,1905.7,161841,1906.0,1911.1,1892.5
2020-10-23,1905.2,168148,1906.5,1917.3,1895.2
2020-10-22,1904.6,208087,1927.4,1929.4,1894.2
2020-10-21,1929.5,194754,1911.6,1936.0,1911.6
2020-10-20,1915.4,160356,1906.4,1915.5,1909.0
2020-10-19,1911.7,155479,1903.2,1923.4,1900.2
2020-10-16,1906.4,144094,1912.7,1918.7,1901.1
2020-10-15,1908.9,205615,1906.0,1913.2,1892.7
2020-10-14,1907.3,185374,1895.4,1917.5,1885.0
2020-10-13,1894.6,260044,1927.3,1930.6,1889.3
2020-10-12,1928.9,155906,1935.0,1939.4,1923.8
2020-10-09,1926.2,224808,1898.4,1936.8,1898.0
2020-10-08,1895.1,179968,1890.6,1905.3,1885.3
2020-10-07,1890.8,183295,1882.6,1902.4,1877.1
2020-10-06,1908.8,172605,1917.8,1927.0,1902.9
2020-10-05,1920.1,176090,1910.9,1924.9,1902.5
2020-10-02,1907.6,209696,1911.0,1923.6,1895.2
2020-10-01,1916.3,257047,1891.2,1917.9,1890.0
2020-09-30,1895.5,256446,1903.2,1908.2,1885.8
2020-09-29,1903.2,213482,1886.4,1904.8,1880.8
2020-09-28,1882.3,232907,1862.7,1888.2,1851.1
2020-09-25,1866.3,226076,1872.7,1879.3,1854.1
2020-09-24,1876.9,338361,1866.9,1880.9,1851.0
2020-09-23,1868.4,402011,1905.1,1909.9,1856.0
2020-09-22,1907.6,279441,1918.1,1925.5,1898.9
2020-09-21,1910.6,380526,1957.3,1962.9,1885.4
2020-09-18,1962.1,174242,1951.1,1968.2,1951.1
2020-09-17,1949.9,263192,1967.6,1969.3,1938.2
2020-09-16,1970.5,287073,1961.4,1983.8,1957.2
2020-09-15,1966.2,232698,1966.2,1982.4,1955.6
2020-09-14,1963.7,196763,1948.9,1972.5,1945.2
2020-09-11,1947.9,202859,1953.8,1959.0,1945.7
2020-09-10,1964.3,268963,1955.3,1954.9,1949.9
2020-09-09,1954.9,224190,1939.4,1959.7,1926.3
2020-09-08,1943.2,412083,1938.0,1948.3,1911.7
2020-09-04,1934.3,300921,1938.0,1945.9,1923.0
2020-09-03,1937.8,300282,1948.9,1956.6,1927.2
2020-09-02,1944.7,326130,1976.8,1980.4,1938.9
2020-09-01,1978.9,300227,1973.7,2001.2,1969.2
2020-08-31,1978.6,242577,1973.9,1985.8,1962.3
2020-08-28,1974.9,329609,1937.5,1983.0,1928.2
2020-08-27,1932.6,461990,1963.0,1987.0,1914.7
2020-08-26,1952.5,338049,1939.0,1963.4,1908.4
2020-08-25,1923.1,271641,1935.9,1944.1,1919.1
2020-08-24,1939.2,284540,1947.9,1970.3,1930.8
2020-08-21,1947.0,352773,1955.6,1963.1,1916.6
2020-08-20,1946.5,378970,1934.4,1963.1,1928.9
2020-08-19,1970.3,440405,2010.5,2015.6,1930.5
2020-08-18,2013.1,358272,1993.6,2024.6,1985.2
2020-08-17,1998.7,285580,1956.4,2000.8,1939.1
2020-08-14,1949.8,237092,1963.8,1970.0,1939.1
2020-08-13,1970.4,346000,1927.3,1974.8,1923.0
2020-08-12,1949.0,450394,1921.6,1961.0,1874.2
2020-08-11,1946.3,556617,2038.4,2040.5,1911.3
2020-08-10,2039.7,248644,2044.8,2060.8,2027.8
2020-08-07,2028.0,391017,2076.4,2082.1,2024.8
2020-08-06,2069.4,307517,2055.0,2081.8,2049.0
2020-08-05,2049.3,361949,2037.0,2070.3,2027.5
2020-08-04,2021.0,269790,1993.5,2037.7,1982.6
2020-08-03,1986.3,176729,1997.4,2009.5,1975.2
2020-07-31,1985.9,275460,1973.6,2005.4,1971.4
2020-07-30,1966.8,268606,1986.4,1987.3,1952.3
2020-07-29,1976.7,191033,1971.9,1998.4,1955.7
2020-07-28,1963.9,154485,1963.2,2000.0,1927.5
2020-07-27,1955.4,127487,1929.0,1971.3,1926.8
2020-07-24,1897.5,288088,1884.9,1904.6,1880.5
2020-07-23,1890.0,400358,1871.6,1897.7,1863.1
2020-07-22,1865.1,376705,1842.8,1871.8,1842.1
2020-07-21,1843.9,265677,1819.6,1844.9,1817.2
2020-07-20,1817.4,173983,1812.3,1823.4,1806.6
2020-07-17,1810.0,162684,1796.9,1813.9,1795.2
2020-07-16,1800.3,190841,1813.1,1816.2,1794.1
2020-07-15,1813.8,179267,1811.1,1819.5,1804.0
2020-07-14,1813.4,235992,1810.9,1813.6,1809.6
2020-07-13,1814.1,218006,1803.4,1818.8,1802.1
2020-07-10,1801.9,208264,1808.4,1817.0,1796.5
2020-07-09,1803.8,265280,1818.8,1825.5,1799.6
2020-07-08,1820.6,232708,1807.9,1829.8,1803.8
2020-07-07,1809.9,217229,1793.9,1810.8,1781.2
2020-07-06,1793.5,140564,1787.0,1799.0,1779.2
2020-07-02,1790.0,181017,1779.0,1791.7,1766.3
2020-07-01,1779.9,258541,1798.9,1807.7,1767.9
2020-06-30,1800.5,190351,1799.2,1801.4,1795.5
2020-06-29,1781.2,128441,1789.2,1790.4,1776.5
2020-06-26,1780.3,195963,1774.8,1786.2,1754.0
