date,close,change%,open,volume
2020-12-19,0.58117,-0.022,0.581304,14875315200.0
2020-12-18,0.579825,1.927,0.56887,19036674048.0
2020-12-17,0.576677,1.441,0.568488,21429914951.0
2020-12-16,0.568628,21.068,0.469677,15158282218.0
2020-12-15,0.46971,-5.622,0.497688,9052977849.0
2020-12-14,0.497712,-2.717,0.511608,7110439196.0
2020-12-13,0.511464,0.945,0.506678,8534780504.0
2020-12-12,0.506401,-7.307,0.546316,10925057158.0
2020-12-11,0.546483,-4.638,0.573062,10708202570.0
2020-12-10,0.572954,-1.833,0.583657,9695432997.0
2020-12-09,0.58359,4.461,0.558667,12648574700.0
2020-12-08,0.558836,-8.215,0.608858,8302771172.0
2020-12-07,0.608934,-1.74,0.619714,7718537440.0
2020-12-06,0.619851,6.064,0.584414,10280250882.0
2020-12-05,0.584421,4.906,0.557088,8565677726.0
2020-12-04,0.557262,-11.752,0.631469,9629062989.0
2020-12-03,0.631483,0.237,0.629995,9884297218.0
2020-12-02,0.629893,2.757,0.612992,12874875863.0
2020-12-01,0.612923,-7.764,0.664515,16985355820.0
2020-11-30,0.664337,9.575,0.606289,17398359052.0
2020-11-29,0.606246,-3.116,0.625742,15391721338.0
2020-11-28,0.625622,11.784,0.559675,17173561815.0
2020-11-27,0.559268,4.852,0.533383,18713160692.0
2020-11-26,0.533019,-16.045,0.634892,23673915793.0
2020-11-25,0.635483,-8.187,0.692154,23569614497.0
2020-11-24,0.692103,12.685,0.614193,32826193387.0
2020-11-23,0.61398,38.377,0.443701,20715303967.0
2020-11-22,0.4437,-3.194,0.458344,19097682286.0
2020-11-21,0.458344,39.711,0.328068,16206296041.0
2020-11-20,0.328068,8.0,0.303766,6283633941.0
2020-11-19,0.303766,3.242,0.294222,5230574728.0
2020-11-18,0.294222,-2.705,0.302397,5684799554.0
2020-11-17,0.302408,3.636,0.291796,6002566534.0
2020-11-16,0.28552,5.889,0.269641,4105697051.0
2020-11-15,0.269642,0.484,0.268342,3613774298.0
2020-11-14,0.268342,1.188,0.265191,4433908910.0
2020-11-13,0.265191,4.037,0.254903,2989109716.0
2020-11-12,0.254903,-0.527,0.256258,2443233107.0
2020-11-11,0.256259,0.926,0.253911,2811079098.0
2020-11-10,0.253911,1.26,0.250753,3488798457.0
2020-11-09,0.250748,-1.256,0.253939,3079413902.0
2020-11-08,0.253939,1.747,0.249582,2364742335.0
2020-11-07,0.249582,-3.428,0.258445,3395345984.0
2020-11-06,0.258445,5.155,0.24577,3282591092.0
2020-11-05,0.245776,3.356,0.237799,2949508994.0
2020-11-04,0.237793,-0.718,0.23951,3335786073.0
2020-11-03,0.23951,1.737,0.23542,3052524907.0
2020-11-02,0.235421,-1.826,0.239804,2412875797.0
2020-11-01,0.239797,0.025,0.239739,1855741695.0
2020-10-31,0.239744,0.234,0.239188,2100764094.0
2020-10-30,0.239184,-1.284,0.242292,2364402263.0
2020-10-29,0.242295,-1.452,0.245865,5451698743.0
2020-10-28,0.245865,-2.784,0.2529,2375598739.0
2020-10-27,0.252899,1.693,0.248688,2273574015.0
2020-10-26,0.248688,-1.789,0.253213,2390566064.0
2020-10-25,0.253213,-1.256,0.256431,1484930708.0
2020-10-24,0.256431,0.608,0.254879,1590424951.0
2020-10-23,0.254879,-0.952,0.257326,2125734862.0
2020-10-22,0.256807,2.176,0.251335,2827483708.0
2020-10-21,0.251615,3.339,0.243485,2306399542.0
2020-10-20,0.243573,-0.956,0.245927,1526376279.0
2020-10-19,0.245964,1.51,0.242308,1435700560.0
2020-10-18,0.242225,0.569,0.24085,1238720801.0
2020-10-17,0.240931,0.162,0.240541,1173505924.0
2020-10-16,0.240443,-2.284,0.246058,1656312546.0
2020-10-15,0.245939,-1.391,0.249406,1652788746.0
2020-10-14,0.249448,-2.836,0.256727,1954936434.0
2020-10-13,0.256323,-0.012,0.256351,2098212017.0
2020-10-12,0.256446,0.305,0.255668,2117892927.0
2020-10-11,0.255719,0.598,0.254201,1851962085.0
2020-10-10,0.25429,0.419,0.253227,1957706163.0
2020-10-09,0.253676,0.787,0.251696,1644363164.0
2020-10-08,0.251615,0.987,0.249154,1584042829.0
2020-10-07,0.249041,1.293,0.24586,1486567164.0
2020-10-06,0.24586,-1.974,0.250813,2633330449.0
2020-10-05,0.250896,0.982,0.248458,1739237136.0
2020-10-04,0.248502,6.415,0.233518,1481572450.0
2020-10-03,0.233505,-0.354,0.234333,853442733.0
2020-10-02,0.234202,-1.721,0.238302,1449826825.0
2020-10-01,0.238361,-1.655,0.242368,1290732679.0
2020-09-30,0.242311,-0.35,0.243157,1161931498.0
2020-09-29,0.243139,0.546,0.241815,1244211927.0
2020-09-28,0.242051,-0.493,0.243252,1312887582.0
2020-09-27,0.243252,0.355,0.242391,990209623.0
2020-09-26,0.242369,0.198,0.241888,1176448176.0
2020-09-25,0.241805,3.746,0.233079,1389150295.0
2020-09-24,0.233018,5.125,0.22166,1316129692.0
2020-09-23,0.221657,-5.099,0.233571,1011343441.0
2020-09-22,0.233417,0.677,0.231848,1019583831.0
2020-09-21,0.232138,-5.948,0.246818,1718957623.0
2020-09-20,0.246743,-1.955,0.251663,1091283585.0
2020-09-19,0.251716,0.475,0.25053,1043485055.0
2020-09-18,0.250707,-0.626,0.252284,1282349756.0
2020-09-17,0.252194,1.796,0.247743,1735400721.0
2020-09-16,0.247847,1.574,0.24401,1421286455.0
2020-09-15,0.24385,-0.983,0.246265,1245531094.0
2020-09-14,0.246327,1.869,0.241804,1195994290.0
2020-09-13,0.241801,-2.425,0.247814,1163182194.0
2020-09-12,0.247814,1.958,0.243055,1043746083.0
2020-09-11,0.243292,-0.099,0.24353,1096662166.0
2020-09-10,0.24353,1.602,0.239689,1353359148.0
2020-09-09,0.239609,1.221,0.236723,1203137131.0
2020-09-08,0.236753,-2.182,0.242029,1618416970.0
2020-09-07,0.242174,0.565,0.240812,1773175897.0
2020-09-06,0.240731,1.279,0.237692,1752405005.0
2020-09-05,0.237692,-7.083,0.255808,2160621038.0
2020-09-04,0.255883,3.713,0.246726,1924234480.0
2020-09-03,0.24658,-10.866,0.276636,1847290355.0
2020-09-02,0.276461,-6.478,0.295612,1985414445.0
2020-09-01,0.295696,5.0,0.281612,1730740377.0
2020-08-31,0.281766,-0.459,0.283065,1209798563.0
2020-08-30,0.283034,3.085,0.274568,1202203314.0
2020-08-29,0.274497,0.915,0.272009,1053592719.0
2020-08-28,0.272046,2.792,0.264658,1178427813.0
2020-08-27,0.264511,-4.633,0.27736,1471948899.0
2020-08-26,0.277491,-0.072,0.277693,1194610015.0
2020-08-25,0.277927,-3.847,0.289044,1403395912.0
2020-08-24,0.289215,1.381,0.285278,1237229520.0
2020-08-23,0.285386,-0.339,0.286358,1183627267.0
2020-08-22,0.286546,2.106,0.280635,1417207522.0
2020-08-21,0.280682,-4.031,0.292468,1833818566.0
2020-08-20,0.292573,0.782,0.290301,1749934412.0
2020-08-19,0.290246,-4.372,0.303513,2163768928.0
2020-08-18,0.303307,-3.472,0.314218,2126503478.0
2020-08-17,0.314767,3.666,0.303641,3001054633.0
2020-08-16,0.303492,1.241,0.299767,2078824448.0
2020-08-15,0.299661,-0.197,0.300246,2260353636.0
2020-08-14,0.300371,0.955,0.297533,2246050523.0
2020-08-13,0.297807,4.52,0.28493,2061442814.0
2020-08-12,0.28493,0.193,0.284376,2001506679.0
2020-08-11,0.284449,-3.472,0.294683,4542499150.0
2020-08-10,0.294659,2.11,0.288569,2108627560.0
2020-08-09,0.288653,-2.023,0.294618,1391288259.0
2020-08-08,0.294022,-0.298,0.294905,1355768291.0
2020-08-07,0.294664,-2.9,0.303464,4278382957.0
2020-08-06,0.303584,0.145,0.303142,1946386689.0
2020-08-05,0.303311,0.841,0.300783,2048410252.0
2020-08-04,0.29887,-4.444,0.312768,2871599872.0
2020-08-03,0.30994,7.809,0.28749,3340814994.0
2020-08-02,0.287062,-0.925,0.289742,4780736538.0
2020-08-01,0.289529,11.827,0.258904,3167874461.0
2020-07-31,0.258904,5.829,0.244649,1854522560.0
2020-07-30,0.244522,0.522,0.243254,1650758400.0
2020-07-29,0.243099,5.627,0.230148,2022835116.0
2020-07-28,0.230277,2.854,0.223889,1754695828.0
2020-07-27,0.223672,4.057,0.214948,1762737985.0
2020-07-26,0.214982,0.463,0.213994,1448138807.0
2020-07-25,0.214102,4.972,0.203959,1225769666.0
2020-07-24,0.204049,-1.809,0.207814,1294356195.0
2020-07-23,0.207578,2.09,0.203331,1443659224.0
2020-07-22,0.203342,2.166,0.199029,935529987.0
2020-07-21,0.198988,2.114,0.194871,928954951.0
2020-07-20,0.195065,-2.049,0.199142,848780530.0
2020-07-19,0.199135,-0.135,0.199404,828392852.0
2020-07-18,0.199341,2.568,0.194349,870207692.0
2020-07-17,0.194281,0.119,0.194051,936113620.0
2020-07-16,0.194048,-1.507,0.197021,1055841761.0
2020-07-15,0.197111,-0.835,0.198774,1067413757.0
2020-07-14,0.198809,0.156,0.198495,1197284577.0
2020-07-13,0.198575,-0.977,0.200538,1197056592.0
2020-07-12,0.200538,-0.338,0.201217,850245454.0
2020-07-11,0.201197,1.243,0.198724,996288334.0
2020-07-10,0.198652,-2.066,0.202842,1161794554.0
2020-07-09,0.20291,-0.826,0.204598,1809158570.0
2020-07-08,0.204692,10.757,0.184814,1878269320.0
2020-07-07,0.184787,-2.005,0.188567,1067033697.0
2020-07-06,0.188567,6.525,0.177017,1423923825.0
2020-07-05,0.177017,-0.506,0.177914,969679447.0
