date,change%
2020-12-18,-0.349
2020-12-17,0.238
2020-12-16,0.133
2020-12-15,0.769
2020-12-14,-0.756
2020-12-11,0.202
2020-12-10,0.245
2020-12-09,-0.895
2020-12-08,0.521
2020-12-07,-0.075
2020-12-04,0.768
2020-12-03,-0.043
2020-12-02,0.417
2020-12-01,0.455
2020-11-30,-0.345
2020-11-27,-0.005
2020-11-25,-0.161
2020-11-24,1.138
2020-11-23,0.302
2020-11-20,-0.608
2020-11-19,0.631
2020-11-18,-1.226
2020-11-17,-0.022
2020-11-16,0.743
2020-11-13,0.917
2020-11-12,-0.72
2020-11-11,0.265
2020-11-10,0.064
2020-11-09,-0.908
2020-11-06,0.031
2020-11-05,0.709
2020-11-04,1.086
2020-11-03,0.986
2020-11-02,0.426
2020-10-30,-0.717
2020-10-29,1.005
2020-10-28,-2.138
2020-10-27,-0.366
2020-10-26,-1.175
2020-10-23,0.014
2020-10-22,0.436
2020-10-21,-0.126
2020-10-20,0.109
2020-10-19,-1.91
2020-10-16,-0.277
2020-10-15,0.858
2020-10-14,-0.762
2020-10-13,-0.625
2020-10-12,0.977
2020-10-09,0.505
2020-10-08,0.365
2020-10-07,1.031
2020-10-06,-1.401
2020-10-05,1.227
2020-10-02,0.284
2020-10-01,-0.15
2020-09-30,0.652
2020-09-29,-0.461
2020-09-28,0.531
2020-09-25,1.909
2020-09-24,0.634
2020-09-23,-2.506
2020-09-22,0.601
2020-09-21,-0.137
2020-09-18,-1.129
2020-09-17,0.303
2020-09-16,-0.755
2020-09-15,-0.192
2020-09-14,0.594
2020-09-11,-0.35
2020-09-10,-2.15
2020-09-09,0.865
2020-09-08,-1.187
2020-09-04,-0.771
2020-09-03,-3.077
2020-09-02,1.046
2020-09-01,0.548
2020-08-31,-0.268
2020-08-28,0.381
2020-08-27,-0.017
2020-08-26,0.834
2020-08-25,0.223
2020-08-24,0.386
2020-08-21,0.329
2020-08-20,0.745
2020-08-19,-0.521
2020-08-18,0.081
2020-08-17,0.033
2020-08-14,0.124
2020-08-13,0.014
2020-08-12,0.742
2020-08-11,-1.087
2020-08-10,0.132
2020-08-07,0.336
2020-08-06,0.782
2020-08-05,0.313
2020-08-04,0.504
2020-08-03,0.193
2020-07-31,0.02
2020-07-30,0.447
2020-07-29,0.967
2020-07-28,-0.489
2020-07-27,0.608
2020-07-24,-0.092
2020-07-23,-1.1
2020-07-22,0.65
2020-07-21,-0.343
2020-07-20,0.854
2020-07-17,0.016
2020-07-16,0.225
2020-07-15,0.018
2020-07-14,1.796
2020-07-13,-1.556
2020-07-10,1.033
2020-07-09,-0.759
2020-07-08,0.535
2020-07-07,-0.667
2020-07-06,0.774
2020-07-02,-0.434
2020-07-01,0.32
2020-06-30,1.642
2020-06-29,1.148
2020-06-26,-2.087
2020-06-25,1.22
2020-06-24,-2.057
2020-06-23,-0.236
2020-06-22,0.757
2020-06-19,-1.355
2020-06-18,0.442
2020-06-17,-0.722
2020-06-16,-0.2
2020-06-15,2.433
2020-06-12,-0.968
2020-06-11,-3.888
2020-06-10,-0.724
2020-06-09,-0.191
2020-06-08,1.015
2020-06-05,0.951
2020-06-04,0.025
2020-06-03,0.774
2020-06-02,0.523
2020-06-01,0.558
2020-05-29,0.633
2020-05-28,-0.554
2020-05-27,0.679
2020-05-26,-0.41
2020-05-22,0.251
2020-05-21,-0.722
2020-05-20,0.609
2020-05-19,-0.87
2020-05-18,1.374
2020-05-15,1.193
2020-05-14,2.074
2020-05-13,-1.6
2020-05-12,-2.36
2020-05-11,0.505
2020-05-08,0.721
2020-05-07,0.102
2020-05-06,-1.204
2020-05-05,-0.015
2020-05-04,0.985
2020-05-01,-1.338
2020-04-30,-0.631
2020-04-29,0.721
2020-04-28,-1.6
2020-04-27,0.835
2020-04-24,0.857
2020-04-23,-0.449
2020-04-22,0.41
2020-04-21,-1.733
2020-04-20,-0.789
2020-04-17,1.13
2020-04-16,0.008
2020-04-15,-0.439
2020-04-14,1.46
2020-04-13,-0.749
2020-04-09,0.462
2020-04-08,2.42
2020-04-07,-2.893
2020-04-06,3.312
2020-04-03,-1.045
2020-04-02,2.781
2020-04-01,-1.104
2020-03-31,-1.151
2020-03-30,2.644
2020-03-27,-0.563
2020-03-26,5.149
2020-03-25,0.724
2020-03-24,4.389
2020-03-23,-2.327
2020-03-20,-5.223
2020-03-19,0.665
2020-03-18,-1.576
2020-03-17,4.268
2020-03-16,-4.882
2020-03-13,5.488
2020-03-12,-5.71
2020-03-11,-2.981
2020-03-10,2.444
2020-03-09,-4.097
2020-03-06,0.615
2020-03-05,-1.683
2020-03-04,2.77
2020-03-03,-3.006
2020-03-02,3.898
2020-02-28,1.279
2020-02-27,-2.736
2020-02-26,-0.749
2020-02-25,-3.419
2020-02-24,-0.974
2020-02-21,-0.677
2020-02-20,-0.214
2020-02-19,0.17
2020-02-18,0.037
2020-02-14,0.062
2020-02-13,0.239
2020-02-12,0.266
2020-02-11,-0.241
2020-02-10,1.019
2020-02-07,-0.235
2020-02-06,0.026
2020-02-05,0.294
2020-02-04,0.518
2020-02-03,0.41
2020-01-31,-1.731
2020-01-30,0.836
2020-01-29,-0.488
2020-01-28,0.642
2020-01-27,-0.109
2020-01-24,-1.129
2020-01-23,0.295
2020-01-22,-0.248
2020-01-21,-0.007
2020-01-17,0.179
2020-01-16,0.419
2020-01-15,0.214
2020-01-14,-0.067
2020-01-13,0.52
2020-01-10,-0.502
2020-01-09,0.265
2020-01-08,0.446
2020-01-07,-0.144
2020-01-06,0.893
2020-01-03,0.263
2020-01-02,0.406
2019-12-31,0.485
2019-12-30,-0.58
2019-12-27,-0.222
2019-12-26,0.394
2019-12-24,-0.064
2019-12-23,-0.063
2019-12-20,-0.065
2019-12-19,0.409
2019-12-18,-0.127
2019-12-17,-0.09
2019-12-16,0.246
2019-12-13,0.068
2019-12-12,0.87
2019-12-11,0.188
2019-12-10,-0.091
2019-12-09,-0.188
2019-12-06,0.36
2019-12-05,-0.057
2019-12-04,0.298
2019-12-03,0.188
2019-12-02,-0.954
2019-11-29,-0.197
2019-11-27,0.259
2019-11-26,0.181
2019-11-25,0.52
2019-11-22,-0.036
2019-11-21,-0.159
2019-11-20,-0.199
2019-11-19,-0.232
2019-11-18,0.132
2019-11-15,0.403
2019-11-14,0.19
2019-11-13,0.32
2019-11-12,0.083
2019-11-11,0.217
2019-11-08,0.384
2019-11-07,-0.06
2019-11-06,0.055
2019-11-05,-0.201
2019-11-04,-0.022
2019-11-01,0.531
2019-10-31,-0.307
2019-10-30,0.231
2019-10-29,0.049
2019-10-28,0.241
2019-10-25,0.64
2019-10-24,-0.149
2019-10-23,0.351
2019-10-22,-0.49
2019-10-21,0.342
2019-10-18,-0.355
2019-10-17,-0.094
2019-10-16,0.0
2019-10-15,0.742
2019-10-14,0.011
2019-10-11,0.243
2019-10-10,0.671
2019-10-09,0.285
2019-10-08,-0.936
2019-10-07,-0.185
2019-10-04,1.146
2019-10-03,0.875
2019-10-02,-1.271
2019-10-01,-1.456
2019-09-30,0.326
2019-09-27,-0.793
2019-09-26,-0.272
2019-09-25,0.557
2019-09-24,-1.193
2019-09-23,0.278
2019-09-20,-0.543
2019-09-19,-0.119
2019-09-18,0.174
2019-09-17,0.335
2019-09-16,0.052
2019-09-13,-0.16
2019-09-12,0.016
2019-09-11,0.655
2019-09-10,0.282
2019-09-09,-0.335
2019-09-06,-0.054
2019-09-05,0.52
2019-09-04,0.448
2019-09-03,-0.094
2019-08-30,-0.362
2019-08-29,0.488
2019-08-28,0.932
2019-08-27,-0.829
2019-08-26,0.407
2019-08-23,-2.197
2019-08-22,-0.273
2019-08-21,0.082
2019-08-20,-0.634
2019-08-19,0.349
2019-08-16,0.836
2019-08-15,0.049
2019-08-14,-1.85
2019-08-13,1.583
2019-08-12,-0.838
2019-08-09,-0.405
2019-08-08,1.446
2019-08-07,0.886
2019-08-06,0.72
2019-08-05,-1.84
2019-08-02,-0.403
2019-08-01,-0.898
2019-07-31,-1.188
2019-07-30,0.184
2019-07-29,-0.116
2019-07-26,0.418
2019-07-25,-0.417
2019-07-24,0.693
2019-07-23,0.358
2019-07-22,0.104
2019-07-19,-0.92
2019-07-18,0.545
2019-07-17,-0.688
2019-07-16,-0.269
2019-07-15,-0.116
2019-07-12,0.347
2019-07-11,0.01
2019-07-10,0.126
2019-07-09,0.476
2019-07-08,-0.128
2019-07-05,0.206
2019-07-03,0.596
2019-07-02,0.282
2019-07-01,-0.238
2019-06-28,0.301
2019-06-27,0.18
2019-06-26,-0.42
2019-06-25,-0.964
2019-06-24,-0.206
2019-06-21,-0.076
2019-06-20,0.155
2019-06-19,0.202
2019-06-18,0.38
2019-06-17,-0.003
2019-06-14,0.006
2019-06-13,0.187
2019-06-12,-0.1
2019-06-11,-0.604
2019-06-10,0.031
2019-06-07,0.718
2019-06-06,0.53
2019-06-05,0.286
2019-06-04,1.471
2019-06-03,-0.257
2019-05-31,-0.509
2019-05-30,0.069
2019-05-29,-0.259
2019-05-28,-0.977
2019-05-24,-0.224
2019-05-23,-0.51
2019-05-22,0.007
2019-05-21,0.362
2019-05-20,-0.06
2019-05-17,0.033
2019-05-16,0.719
2019-05-15,1.084
2019-05-14,0.507
2019-05-13,-0.997
2019-05-10,0.639
2019-05-09,0.38
2019-05-08,-0.007
2019-05-07,-0.995
2019-05-06,0.811
2019-05-03,0.561
2019-05-02,-0.159
2019-05-01,-0.969
2019-04-30,0.296
2019-04-29,0.083
2019-04-26,0.481
2019-04-25,-0.096
2019-04-24,-0.23
2019-04-23,0.814
2019-04-22,0.317
2019-04-18,0.008
2019-04-17,-0.535
2019-04-16,-0.179
2019-04-15,-0.094
2019-04-12,0.226
2019-04-11,-0.124
2019-04-10,0.237
2019-04-09,-0.29
2019-04-08,0.253
2019-04-05,0.297
2019-04-04,0.188
2019-04-03,-0.094
2019-04-02,-0.035
2019-04-01,0.652
2019-03-29,0.217
2019-03-28,0.215
2019-03-27,-0.509
2019-03-26,0.206
2019-03-25,0.084
2019-03-22,-1.54
2019-03-21,1.247
2019-03-20,-0.251
2019-03-19,-0.288
2019-03-18,0.366
2019-03-15,0.416
2019-03-14,-0.068
2019-03-13,0.398
2019-03-12,0.15
2019-03-11,1.299
2019-03-08,0.45
2019-03-07,-0.636
2019-03-06,-0.674
2019-03-05,-0.17
2019-03-04,-0.766
2019-03-01,0.195
2019-02-28,-0.13
2019-02-27,0.175
2019-02-26,0.055
2019-02-25,-0.294
2019-02-22,0.432
2019-02-21,-0.193
2019-02-20,0.203
2019-02-19,0.378
2019-02-15,0.556
2019-02-14,0.081
2019-02-13,0.099
2019-02-12,0.812
2019-02-11,-0.096
2019-02-08,0.576
2019-02-07,-0.422
2019-02-06,-0.126
2019-02-05,0.343
2019-02-04,0.679
2019-02-01,0.156
2019-01-31,0.693
2019-01-30,1.034
2019-01-29,-0.185
2019-01-28,-0.042
2019-01-25,0.275
2019-01-24,0.132
2019-01-23,-0.181
2019-01-22,-0.94
2019-01-18,0.733
2019-01-17,1.023
2019-01-16,0.052
2019-01-15,0.975
2019-01-14,0.089
2019-01-11,0.315
2019-01-10,0.899
2019-01-09,0.192
2019-01-08,0.245
2019-01-07,0.555
2019-01-04,2.328
2019-01-03,-1.767
2019-01-02,1.335
2018-12-31,0.317
2018-12-28,-0.521
2018-12-27,1.897
2018-12-26,4.425
2018-12-24,-2.06
2018-12-21,-1.978
2018-12-20,-1.176
2018-12-19,-1.574
2018-12-18,-0.537
2018-12-17,-1.73
2018-12-14,-1.131
2018-12-13,-0.307
2018-12-12,-0.269
2018-12-11,-1.038
2018-12-10,0.261
2018-12-07,-2.162
2018-12-06,1.218
2018-12-04,-2.96
2018-12-03,-0.005
2018-11-30,0.819
2018-11-29,0.03
2018-11-28,1.945
2018-11-27,0.692
2018-11-26,0.886
2018-11-23,-0.03
2018-11-21,-0.294
2018-11-20,-0.479
2018-11-19,-1.465
2018-11-16,0.652
2018-11-15,1.362
2018-11-14,-1.327
2018-11-13,-0.288
2018-11-12,-1.72
2018-11-09,-0.468
2018-11-08,0.016
2018-11-07,1.433
2018-11-06,0.623
2018-11-05,0.438
2018-11-02,-0.816
2018-11-01,0.839
2018-10-31,0.227
2018-10-30,1.589
2018-10-29,-1.543
2018-10-26,-0.344
2018-10-25,1.147
2018-10-24,-2.987
2018-10-23,0.723
2018-10-22,-0.651
2018-10-19,-0.284
2018-10-18,-1.186
2018-10-17,-0.087
2018-10-16,1.549
2018-10-15,-0.472
2018-10-12,-0.123
2018-10-11,-1.747
2018-10-10,-3.07
2018-10-09,-0.075
2018-10-08,0.24
2018-10-05,-0.585
2018-10-04,-0.608
2018-10-03,-0.211
2018-10-02,-0.013
2018-10-01,-0.058
2018-09-28,0.136
2018-09-27,0.081
2018-09-26,-0.377
2018-09-25,-0.212
2018-09-24,-0.084
2018-09-21,-0.241
2018-09-20,0.377
2018-09-19,0.046
2018-09-18,0.469
2018-09-17,-0.518
2018-09-14,-0.048
2018-09-13,0.253
2018-09-12,0.022
2018-09-11,0.568
2018-09-10,-0.148
2018-09-07,0.119
2018-09-06,-0.367
2018-09-05,-0.103
2018-09-04,-0.008
2018-08-31,0.109
2018-08-30,-0.268
2018-08-29,0.463
2018-08-28,-0.135
2018-08-27,0.418
2018-08-24,0.431
2018-08-23,-0.116
2018-08-22,0.029
2018-08-21,0.051
2018-08-20,0.109
2018-08-17,0.416
2018-08-16,0.327
2018-08-15,-0.339
2018-08-14,0.427
2018-08-13,-0.477
2018-08-10,-0.198
2018-08-09,-0.126
2018-08-08,0.032
2018-08-07,0.089
2018-08-06,0.356
2018-08-03,0.379
2018-08-02,0.955
2018-08-01,-0.277
2018-07-31,0.233
2018-07-30,-0.582
2018-07-27,-0.828
2018-07-26,0.069
2018-07-25,1.006
2018-07-24,-0.01
2018-07-23,0.279
2018-07-20,-0.097
2018-07-19,-0.174
2018-07-18,0.152
2018-07-17,0.725
2018-07-16,0.038
2018-07-13,0.157
2018-07-12,0.544
2018-07-11,-0.209
2018-07-10,0.189
2018-07-09,0.308
2018-07-06,0.809
2018-07-05,0.456
2018-07-03,-0.734
2018-07-02,0.804
2018-06-29,-0.321
2018-06-28,0.653
2018-06-27,-1.056
2018-06-26,0.035
2018-06-25,-0.943
2018-06-22,-0.214
2018-06-21,-0.705
2018-06-20,-0.087
2018-06-19,0.384
2018-06-18,0.288
2018-06-15,0.068
2018-06-14,-0.026
2018-06-13,-0.442
2018-06-12,0.045
2018-06-11,0.065
2018-06-08,0.477
2018-06-07,-0.161
2018-06-06,0.694
2018-06-05,0.012
2018-06-04,0.19
2018-06-01,0.586
2018-05-31,-0.577
2018-05-30,0.799
2018-05-29,-0.564
2018-05-25,-0.083
2018-05-24,-0.116
2018-05-23,0.712
2018-05-22,-0.508
2018-05-21,-0.087
2018-05-18,-0.161
2018-05-17,0.015
2018-05-16,0.363
2018-05-15,-0.263
2018-05-14,-0.305
2018-05-11,0.184
2018-05-10,0.667
2018-05-09,0.734
2018-05-08,0.062
2018-05-07,-0.288
2018-05-04,1.601
2018-05-03,0.063
2018-05-02,-0.7
2018-05-01,0.448
2018-04-30,-1.285
2018-04-27,-0.208
2018-04-26,0.577
2018-04-25,0.17
2018-04-24,-1.725
2018-04-23,-0.191
2018-04-20,-0.833
2018-04-19,-0.297
2018-04-18,-0.054
2018-04-17,0.507
2018-04-16,0.29
2018-04-13,-0.77
2018-04-12,0.383
2018-04-11,-0.064
2018-04-10,0.7
2018-04-09,-0.154
2018-04-06,-1.563
2018-04-05,0.206
2018-04-04,2.347
2018-04-03,0.86
2018-04-02,-1.958
2018-03-29,1.012
2018-03-28,-0.241
2018-03-27,-2.06
2018-03-26,1.497
2018-03-23,-2.208
2018-03-22,-1.771
2018-03-21,-0.113
2018-03-20,0.07
2018-03-19,-1.038
2018-03-16,0.052
2018-03-15,-0.252
2018-03-14,-0.886
2018-03-13,-0.967
2018-03-12,-0.269
2018-03-09,1.223
2018-03-08,0.228
2018-03-07,0.613
